lbd,S
6e-07,-28.7840074
6.00022e-07,-28.8384432
6.00044e-07,-28.7606029
6.00066e-07,-28.7906612
6.00088e-07,-28.7435204
6.0011e-07,-28.8293789
6.00132e-07,-28.820043
6.00154e-07,-28.7822348
6.00176e-07,-28.6734682
6.00198e-07,-28.6483886
6.0022e-07,-28.6234278
6.00242e-07,-28.6857882
6.00264e-07,-28.9259377
6.00286e-07,-28.9351399
6.00308e-07,-28.9978357
6.0033e-07,-28.9625181
6.00352e-07,-28.8331588
6.00374e-07,-28.7469854
6.00396e-07,-28.902456
6.00418e-07,-28.9397781
6.0044e-07,-29.0318606
6.00462e-07,-28.9683149
6.00484e-07,-29.0240973
6.00506e-07,-28.856279
6.00528e-07,-28.776697
6.0055e-07,-28.948825
6.00572e-07,-29.0836481
6.00594e-07,-29.0409683
6.00616e-07,-29.0509435
6.00638e-07,-29.1551322
6.0066e-07,-29.1523386
6.00682e-07,-29.1015181
6.00704e-07,-29.0735715
6.00726e-07,-28.9865438
6.00748e-07,-29.0372578
6.0077e-07,-29.0010648
6.00792e-07,-28.8863864
6.00814e-07,-28.8863547
6.00836e-07,-28.9626798
6.00858e-07,-29.0711657
6.0088e-07,-29.1321689
6.00902e-07,-29.1053348
6.00924e-07,-29.0221929
6.00946e-07,-29.0663801
6.00968e-07,-29.1184652
6.0099e-07,-29.0601463
6.01012e-07,-29.1328182
6.01034e-07,-29.0996964
6.01056e-07,-29.0943236
6.01078e-07,-29.1643606
6.011e-07,-29.041756
6.01122e-07,-29.1099088
6.01144e-07,-29.1249174
6.01166e-07,-29.1486374
6.01188e-07,-29.1027442
6.0121e-07,-29.0900057
6.01232e-07,-29.059618
6.01254e-07,-29.100833
6.01276e-07,-29.1555419
6.01298e-07,-29.2349595
6.0132e-07,-29.3091028
6.01342e-07,-29.3358074
6.01364e-07,-29.3290633
6.01386e-07,-29.223334
6.01408e-07,-29.2839708
6.0143e-07,-29.2858017
6.01452e-07,-29.3129944
6.01474e-07,-29.4240058
6.01496e-07,-29.4616236
6.01518e-07,-29.3231705
6.0154e-07,-29.3154244
6.01562e-07,-29.2248645
6.01584e-07,-29.183406
6.01606e-07,-29.2462667
6.01628e-07,-29.3549562
6.0165e-07,-29.3200758
6.01672e-07,-29.1836717
6.01694e-07,-29.0922473
6.01716e-07,-28.9475933
6.01738e-07,-28.9674432
6.0176e-07,-29.2134391
6.01782e-07,-29.3913362
6.01804e-07,-29.6300628
6.01826e-07,-29.6321785
6.01848e-07,-29.5013735
6.0187e-07,-29.3327896
6.01892e-07,-29.4153705
6.01914e-07,-29.4135766
6.01936e-07,-29.49308
6.01958e-07,-29.392661
6.0198e-07,-29.3503995
6.02002e-07,-29.2968113
6.02024e-07,-29.4133805
6.02046e-07,-29.5259518
6.02068e-07,-29.6367791
6.0209e-07,-29.6851657
6.02112e-07,-29.5757241
6.02134e-07,-29.497058
6.02156e-07,-29.5011184
6.02178e-07,-29.3796625
6.022e-07,-29.4705081
6.02222e-07,-29.5288114
6.02244e-07,-29.612791
6.02266e-07,-29.6324111
6.02288e-07,-29.4457767
6.0231e-07,-29.3311455
6.02332e-07,-29.2558365
6.02354e-07,-29.235302
6.02376e-07,-29.2274379
6.02398e-07,-29.3134763
6.0242e-07,-29.3201143
6.02442e-07,-29.4266385
6.02464e-07,-29.4655137
6.02486e-07,-29.6490126
6.02508e-07,-29.893145
6.0253e-07,-29.8618881
6.02552e-07,-29.9164558
6.02574e-07,-29.6972025
6.02596e-07,-29.7580564
6.02618e-07,-29.5777821
6.0264e-07,-29.5697876
6.02662e-07,-29.580671
6.02684e-07,-29.53259
6.02706e-07,-29.5124878
6.02728e-07,-29.3833331
6.0275e-07,-29.3292923
6.02772e-07,-29.3921848
6.02794e-07,-29.317332
6.02816e-07,-29.4762483
6.02838e-07,-29.5941576
6.0286e-07,-29.6199237
6.02882e-07,-29.6438364
6.02904e-07,-29.5984251
6.02926e-07,-29.5261675
6.02948e-07,-29.5355896
6.0297e-07,-29.7256627
6.02992e-07,-29.736086
6.03014e-07,-29.7560293
6.03036e-07,-29.5948297
6.03058e-07,-29.5296211
6.0308e-07,-29.6241172
6.03102e-07,-29.5678372
6.03124e-07,-29.5675089
6.03146e-07,-29.4685236
6.03168e-07,-29.4888747
6.0319e-07,-29.4947824
6.03212e-07,-29.4429137
6.03234e-07,-29.4411997
6.03256e-07,-29.4559627
6.03278e-07,-29.5671861
6.033e-07,-29.6190805
6.03322e-07,-29.6714073
6.03344e-07,-29.600146
6.03366e-07,-29.7027075
6.03388e-07,-29.6456201
6.0341e-07,-29.8235332
6.03432e-07,-29.9311094
6.03454e-07,-29.8920238
6.03476e-07,-29.892902
6.03498e-07,-29.8551946
6.0352e-07,-29.8063045
6.03542e-07,-29.7920182
6.03564e-07,-29.8240808
6.03586e-07,-29.8201849
6.03608e-07,-29.7666059
6.0363e-07,-29.6872008
6.03652e-07,-29.4582567
6.03674e-07,-29.4083604
6.03696e-07,-29.5143541
6.03718e-07,-29.5487404
6.0374e-07,-29.6293342
6.03762e-07,-29.7628601
6.03784e-07,-29.8282336
6.03806e-07,-29.8039923
6.03828e-07,-29.8054641
6.0385e-07,-29.676043
6.03872e-07,-29.7553143
6.03894e-07,-29.8288905
6.03916e-07,-29.912798
6.03938e-07,-29.8854304
6.0396e-07,-29.8190624
6.03982e-07,-29.8251567
6.04004e-07,-29.7969379
6.04026e-07,-29.8236104
6.04048e-07,-29.8037271
6.0407e-07,-29.8213216
6.04092e-07,-29.9255652
6.04114e-07,-29.982005
6.04136e-07,-29.8452287
6.04158e-07,-29.834364
6.0418e-07,-29.9334131
6.04202e-07,-30.0143028
6.04224e-07,-30.0482598
6.04246e-07,-30.0194385
6.04268e-07,-30.011043
6.0429e-07,-29.918755
6.04312e-07,-29.9542242
6.04334e-07,-29.8666026
6.04356e-07,-29.9568302
6.04378e-07,-30.0052493
6.044e-07,-30.0177242
6.04422e-07,-29.9575145
6.04444e-07,-30.0477338
6.04466e-07,-30.2280182
6.04488e-07,-30.2124095
6.0451e-07,-30.201134
6.04532e-07,-30.2853763
6.04554e-07,-30.2420736
6.04576e-07,-30.3014527
6.04598e-07,-30.2250465
6.0462e-07,-30.2547135
6.04642e-07,-30.2919929
6.04664e-07,-30.286707
6.04686e-07,-30.1456485
6.04708e-07,-30.0840007
6.0473e-07,-29.9942861
6.04752e-07,-30.0292251
6.04774e-07,-30.0233122
6.04796e-07,-30.0510633
6.04818e-07,-30.0878538
6.0484e-07,-30.2096365
6.04862e-07,-30.1674323
6.04884e-07,-30.2745587
6.04906e-07,-30.2637547
6.04928e-07,-30.1924347
6.0495e-07,-30.2477069
6.04972e-07,-30.2063091
6.04994e-07,-30.2020565
6.05016e-07,-30.1605045
6.05038e-07,-30.1658734
6.0506e-07,-30.0264057
6.05082e-07,-29.8175819
6.05104e-07,-29.9534821
6.05126e-07,-30.1044786
6.05148e-07,-30.0803576
6.0517e-07,-30.122989
6.05192e-07,-30.1912629
6.05214e-07,-30.1147267
6.05236e-07,-30.2546895
6.05258e-07,-30.184366
6.0528e-07,-30.1906015
6.05302e-07,-30.2059072
6.05324e-07,-30.1469444
6.05346e-07,-30.2051931
6.05368e-07,-30.188215
6.0539e-07,-30.2186193
6.05412e-07,-30.3652249
6.05434e-07,-30.6015157
6.05456e-07,-30.655071
6.05478e-07,-30.6288593
6.055e-07,-30.6559346
6.05522e-07,-30.4875049
6.05544e-07,-30.4689994
6.05566e-07,-30.3305655
6.05588e-07,-30.1661372
6.0561e-07,-30.2051215
6.05632e-07,-30.1772651
6.05654e-07,-30.1755075
6.05676e-07,-30.1828561
6.05698e-07,-30.2506972
6.0572e-07,-30.3380803
6.05742e-07,-30.3521923
6.05764e-07,-30.3856887
6.05786e-07,-30.2933855
6.05808e-07,-30.2494007
6.0583e-07,-30.2511397
6.05852e-07,-30.1453881
6.05874e-07,-30.2423228
6.05896e-07,-30.2126778
6.05918e-07,-30.3009726
6.0594e-07,-30.2857742
6.05962e-07,-30.277722
6.05984e-07,-30.3811898
6.06006e-07,-30.4001736
6.06028e-07,-30.4094858
6.0605e-07,-30.4675226
6.06072e-07,-30.3392205
6.06094e-07,-30.3523185
6.06116e-07,-30.4267439
6.06138e-07,-30.3298061
6.0616e-07,-30.2642213
6.06182e-07,-30.2504256
6.06204e-07,-30.297941
6.06226e-07,-30.2308685
6.06248e-07,-30.2350449
6.0627e-07,-30.2255097
6.06292e-07,-30.3007916
6.06314e-07,-30.3741668
6.06336e-07,-30.5167919
6.06358e-07,-30.463128
6.0638e-07,-30.440468
6.06402e-07,-30.4009564
6.06424e-07,-30.4367695
6.06446e-07,-30.3904881
6.06468e-07,-30.5213662
6.0649e-07,-30.5725428
6.06512e-07,-30.5703191
6.06534e-07,-30.616188
6.06556e-07,-30.5469775
6.06578e-07,-30.4995612
6.066e-07,-30.4995018
6.06622e-07,-30.5742492
6.06644e-07,-30.6007771
6.06666e-07,-30.6339292
6.06688e-07,-30.6173636
6.0671e-07,-30.6855964
6.06732e-07,-30.6374401
6.06754e-07,-30.6667569
6.06776e-07,-30.6939639
6.06798e-07,-30.6645583
6.0682e-07,-30.5992139
6.06842e-07,-30.6648108
6.06864e-07,-30.5207154
6.06886e-07,-30.5821003
6.06908e-07,-30.6721803
6.0693e-07,-30.810144
6.06952e-07,-30.8044354
6.06974e-07,-30.7576689
6.06996e-07,-30.7821123
6.07018e-07,-30.7208214
6.0704e-07,-30.8380329
6.07062e-07,-30.7907611
6.07084e-07,-30.758163
6.07106e-07,-30.7532012
6.07128e-07,-30.7812356
6.0715e-07,-30.742841
6.07172e-07,-30.7682911
6.07194e-07,-30.8482832
6.07216e-07,-30.8437406
6.07238e-07,-30.9417439
6.0726e-07,-30.8538766
6.07282e-07,-30.8545279
6.07304e-07,-30.7973533
6.07326e-07,-30.6974764
6.07348e-07,-30.6698689
6.0737e-07,-30.5553921
6.07392e-07,-30.5795153
6.07414e-07,-30.6057735
6.07436e-07,-30.4710453
6.07458e-07,-30.3912361
6.0748e-07,-30.5200099
6.07502e-07,-30.6041524
6.07524e-07,-30.7296021
6.07546e-07,-30.75544
6.07568e-07,-30.8736785
6.0759e-07,-30.8477029
6.07612e-07,-30.7618612
6.07634e-07,-30.8818983
6.07656e-07,-30.9105298
6.07678e-07,-30.9784706
6.077e-07,-30.9247042
6.07722e-07,-31.0037974
6.07744e-07,-30.9051076
6.07766e-07,-31.0013271
6.07788e-07,-30.955029
6.0781e-07,-30.9938649
6.07832e-07,-30.9960933
6.07854e-07,-31.1618793
6.07876e-07,-31.0592993
6.07898e-07,-31.0115488
6.0792e-07,-30.8833494
6.07942e-07,-30.8043868
6.07964e-07,-30.8201595
6.07986e-07,-30.8372076
6.08008e-07,-30.7872807
6.0803e-07,-30.7241761
6.08052e-07,-30.732709
6.08074e-07,-30.5364844
6.08096e-07,-30.5625454
6.08118e-07,-30.5297924
6.0814e-07,-30.6242313
6.08162e-07,-30.8056936
6.08184e-07,-30.9192355
6.08206e-07,-30.9039346
6.08228e-07,-31.0271255
6.0825e-07,-31.0524683
6.08272e-07,-31.0219826
6.08294e-07,-31.0722777
6.08316e-07,-31.0482913
6.08338e-07,-31.0793478
6.0836e-07,-31.0228633
6.08382e-07,-30.7984217
6.08404e-07,-30.776867
6.08426e-07,-30.7381734
6.08448e-07,-30.8586091
6.0847e-07,-30.8851225
6.08492e-07,-30.8237846
6.08514e-07,-30.7324487
6.08536e-07,-30.6816767
6.08558e-07,-30.6730872
6.0858e-07,-30.6274218
6.08602e-07,-30.5969887
6.08624e-07,-30.648638
6.08646e-07,-30.7746087
6.08668e-07,-30.7474289
6.0869e-07,-30.822022
6.08712e-07,-30.9435533
6.08734e-07,-31.1112068
6.08756e-07,-31.1205444
6.08778e-07,-31.1393925
6.088e-07,-31.0939374
6.08822e-07,-31.1268221
6.08844e-07,-31.0202096
6.08866e-07,-31.0246421
6.08888e-07,-31.1347257
6.0891e-07,-31.2553382
6.08932e-07,-31.2560023
6.08954e-07,-31.3343407
6.08976e-07,-31.3048047
6.08998e-07,-31.3300661
6.0902e-07,-31.3591806
6.09042e-07,-31.3839833
6.09064e-07,-31.3382369
6.09086e-07,-31.3098305
6.09108e-07,-31.2254176
6.0913e-07,-31.1599586
6.09152e-07,-31.1103988
6.09174e-07,-31.1951
6.09196e-07,-31.1268978
6.09218e-07,-31.0758954
6.0924e-07,-31.0868116
6.09262e-07,-31.1244665
6.09284e-07,-31.1013373
6.09306e-07,-31.2123833
6.09328e-07,-31.1921029
6.0935e-07,-31.2311534
6.09372e-07,-31.2664897
6.09394e-07,-31.0770665
6.09416e-07,-31.0996085
6.09438e-07,-31.0922988
6.0946e-07,-31.1571323
6.09482e-07,-31.2349868
6.09504e-07,-31.1496294
6.09526e-07,-31.1326023
6.09548e-07,-31.0914248
6.0957e-07,-31.0941089
6.09592e-07,-31.1881259
6.09614e-07,-31.2224121
6.09636e-07,-31.1917788
6.09658e-07,-31.1725494
6.0968e-07,-31.122551
6.09702e-07,-31.1730893
6.09724e-07,-31.0524924
6.09746e-07,-31.1022403
6.09768e-07,-31.1292698
6.0979e-07,-31.0979995
6.09812e-07,-31.1042407
6.09834e-07,-31.1463323
6.09856e-07,-31.1808973
6.09878e-07,-31.0360194
6.099e-07,-31.1449809
6.09922e-07,-31.2258529
6.09944e-07,-31.3120435
6.09966e-07,-31.4483061
6.09988e-07,-31.4907289
6.1001e-07,-31.5552048
6.10032e-07,-31.4918946
