lbd,S
7e-07,-210.0
7.0002e-07,-72.5362695
7.0004e-07,-72.4805994
7.0006e-07,-70.868124
7.0008e-07,-72.1072129
7.001e-07,-71.6672461
7.0012e-07,-71.3412446
7.0014e-07,-70.6311712
7.0016e-07,-74.2452048
7.0018e-07,-73.1175597
7.002e-07,-77.332165
7.0022e-07,-77.9587903
7.0024e-07,-76.9966186
7.0026e-07,-83.8297395
7.0028e-07,-210.0
7.003e-07,-78.8710633
7.0032e-07,-75.5932221
7.0034e-07,-74.6778955
7.0036e-07,-75.3830795
7.0038e-07,-210.0
7.004e-07,-210.0
7.0042e-07,-72.9802976
7.0044e-07,-70.6579638
7.0046e-07,-74.3427521
7.0048e-07,-72.5564114
7.005e-07,-72.8667245
7.0052e-07,-71.8810334
7.0054e-07,-73.4996777
7.0056e-07,-74.6939875
7.0058e-07,-73.7782485
7.006e-07,-210.0
7.0062e-07,-81.6099807
7.0064e-07,-81.6789865
7.0066e-07,-76.0070683
7.0068e-07,-73.3789871
7.007e-07,-74.7650717
7.0072e-07,-72.1726748
7.0074e-07,-73.0147656
7.0076e-07,-75.4428512
7.0078e-07,-72.0764176
7.008e-07,-71.3290778
7.0082e-07,-72.8145115
7.0084e-07,-71.8431012
7.0086e-07,-77.7686976
7.0088e-07,-76.1682652
7.009e-07,-72.1618079
7.0092e-07,-78.7705326
7.0094e-07,-77.3788881
7.0096e-07,-75.1574979
7.0098e-07,-73.6376419
7.01e-07,-71.2226614
7.0102e-07,-71.8489626
7.0104e-07,-74.1429994
7.0106e-07,-75.080615
7.0108e-07,-74.8680295
7.011e-07,-72.6794895
7.0112e-07,-72.1050201
7.0114e-07,-71.2992811
7.0116e-07,-73.1233118
7.0118e-07,-77.2774384
7.012e-07,-73.680756
7.0122e-07,-72.5483993
7.0124e-07,-75.755037
7.0126e-07,-78.3312343
7.0128e-07,-72.7728958
7.013e-07,-71.7807102
7.0132e-07,-71.9253084
7.0134e-07,-74.0709096
7.0136e-07,-73.2023862
7.0138e-07,-72.5013934
7.014e-07,-74.9999474
7.0142e-07,-210.0
7.0144e-07,-78.7199925
7.0146e-07,-72.2460653
7.0148e-07,-70.6537444
7.015e-07,-71.4842281
7.0152e-07,-70.6728172
7.0154e-07,-71.0736971
7.0156e-07,-74.9300487
7.0158e-07,-210.0
7.016e-07,-76.1561493
7.0162e-07,-210.0
7.0164e-07,-75.3274126
7.0166e-07,-73.2767039
7.0168e-07,-73.9361717
7.017e-07,-73.0794754
7.0172e-07,-75.7854653
7.0174e-07,-74.0760518
7.0176e-07,-73.6434592
7.0178e-07,-73.7233555
7.018e-07,-72.6191102
7.0182e-07,-77.5287443
7.0184e-07,-75.4337072
7.0186e-07,-73.3999496
7.0188e-07,-72.4009057
7.019e-07,-75.1640909
7.0192e-07,-74.218848
7.0194e-07,-75.0440593
7.0196e-07,-72.0846835
7.0198e-07,-76.3435991
7.02e-07,-210.0
7.0202e-07,-76.0771868
7.0204e-07,-70.9722213
7.0206e-07,-71.6394535
7.0208e-07,-84.6078557
7.021e-07,-73.9959102
7.0212e-07,-75.7140067
7.0214e-07,-74.9791686
7.0216e-07,-74.3784485
7.0218e-07,-75.313424
7.022e-07,-72.0842551
7.0222e-07,-78.3418205
7.0224e-07,-78.6859128
7.0226e-07,-72.1178287
7.0228e-07,-76.8155362
7.023e-07,-77.4859893
7.0232e-07,-210.0
7.0234e-07,-78.3887007
7.0236e-07,-73.1232856
7.0238e-07,-78.5883173
7.024e-07,-76.3552134
7.0242e-07,-72.9258424
7.0244e-07,-79.3015383
7.0246e-07,-74.0459104
7.0248e-07,-77.4907614
7.025e-07,-73.7765078
7.0252e-07,-72.4638655
7.0254e-07,-76.3597734
7.0256e-07,-71.8641133
7.0258e-07,-74.8620224
7.026e-07,-79.8524693
7.0262e-07,-78.4705694
7.0264e-07,-74.7309852
7.0266e-07,-87.1813658
7.0268e-07,-73.5098111
7.027e-07,-73.4140119
7.0272e-07,-77.3465455
7.0274e-07,-80.1788429
7.0276e-07,-77.5796936
7.0278e-07,-73.8231607
7.028e-07,-74.9007214
7.0282e-07,-71.75306
7.0284e-07,-71.915006
7.0286e-07,-72.1766786
7.0288e-07,-74.7141349
7.029e-07,-74.4792855
7.0292e-07,-73.9180501
7.0294e-07,-74.0019801
7.0296e-07,-73.8552888
7.0298e-07,-74.1865978
