lbd,S
7e-07,-69.9871862
7.0002e-07,-69.6789952
7.0004e-07,-70.0937909
7.0006e-07,-69.4612234
7.0008e-07,-69.2923829
7.001e-07,-69.2522744
7.0012e-07,-69.4944278
7.0014e-07,-69.8579406
7.0016e-07,-70.7662085
7.0018e-07,-70.12627
7.002e-07,-72.0843315
7.0022e-07,-69.1098897
7.0024e-07,-68.6899953
7.0026e-07,-68.1832737
7.0028e-07,-68.5548987
7.003e-07,-69.9052025
7.0032e-07,-72.9084054
7.0034e-07,-71.6046025
7.0036e-07,-69.4191168
7.0038e-07,-69.4439601
7.004e-07,-69.0315938
7.0042e-07,-68.2175201
7.0044e-07,-68.9025191
7.0046e-07,-69.2488174
7.0048e-07,-69.6977326
7.005e-07,-69.4431513
7.0052e-07,-69.1288925
7.0054e-07,-69.0646648
7.0056e-07,-70.0968236
7.0058e-07,-70.3223717
7.006e-07,-69.6732288
7.0062e-07,-69.5391579
7.0064e-07,-69.7027076
7.0066e-07,-70.3051635
7.0068e-07,-70.0491171
7.007e-07,-69.9344029
7.0072e-07,-68.4956784
7.0074e-07,-68.998099
7.0076e-07,-70.3664728
7.0078e-07,-68.1833302
7.008e-07,-68.510535
7.0082e-07,-69.0236221
7.0084e-07,-68.7357784
7.0086e-07,-70.2334986
7.0088e-07,-69.8108838
7.009e-07,-69.6548407
7.0092e-07,-69.9134786
7.0094e-07,-68.7687824
7.0096e-07,-69.4965692
7.0098e-07,-70.766061
7.01e-07,-69.7728966
7.0102e-07,-69.6492129
7.0104e-07,-70.1731467
7.0106e-07,-68.6685016
7.0108e-07,-68.5040377
7.011e-07,-71.4833096
7.0112e-07,-68.7980738
7.0114e-07,-68.5937211
7.0116e-07,-68.6797472
7.0118e-07,-68.4207863
7.012e-07,-70.241397
7.0122e-07,-69.1477281
7.0124e-07,-70.5400038
7.0126e-07,-69.762847
7.0128e-07,-69.1505016
7.013e-07,-68.7612701
7.0132e-07,-70.4043872
7.0134e-07,-69.5072692
7.0136e-07,-71.2323689
7.0138e-07,-68.8855373
7.014e-07,-68.5788526
7.0142e-07,-69.3819541
7.0144e-07,-72.7208344
7.0146e-07,-71.8071158
7.0148e-07,-69.1376535
7.015e-07,-69.5403801
7.0152e-07,-71.1591643
7.0154e-07,-70.1771586
7.0156e-07,-68.5915808
7.0158e-07,-67.7831088
7.016e-07,-70.4483228
7.0162e-07,-70.0101054
7.0164e-07,-69.0791476
7.0166e-07,-68.0921238
7.0168e-07,-69.4116183
7.017e-07,-71.6245291
7.0172e-07,-68.9019915
7.0174e-07,-69.6550183
7.0176e-07,-71.2746047
7.0178e-07,-69.3957363
7.018e-07,-70.3386461
7.0182e-07,-69.9195632
7.0184e-07,-69.6229306
7.0186e-07,-69.400334
7.0188e-07,-67.8640581
7.019e-07,-69.8502171
7.0192e-07,-70.6793785
7.0194e-07,-70.1578183
7.0196e-07,-68.9055939
7.0198e-07,-69.0509909
7.02e-07,-70.6975133
7.0202e-07,-68.6971843
7.0204e-07,-70.0107432
7.0206e-07,-70.181154
7.0208e-07,-69.1690936
7.021e-07,-69.7761745
7.0212e-07,-71.8321537
7.0214e-07,-70.1349624
7.0216e-07,-70.6823937
7.0218e-07,-70.2178448
7.022e-07,-68.4692426
7.0222e-07,-69.240944
7.0224e-07,-69.2337412
7.0226e-07,-68.7515761
7.0228e-07,-68.8095738
7.023e-07,-70.713352
7.0232e-07,-70.3270598
7.0234e-07,-69.3965805
7.0236e-07,-68.9609945
7.0238e-07,-69.0410833
7.024e-07,-68.7242082
7.0242e-07,-69.8194615
7.0244e-07,-71.9292646
7.0246e-07,-69.7277732
7.0248e-07,-68.9958167
7.025e-07,-69.250461
