lbd,S
7e-07,-69.814162
7.0002e-07,-71.470634
7.0004e-07,-69.4103649
7.0006e-07,-69.7667871
7.0008e-07,-70.9970432
7.001e-07,-70.9674389
7.0012e-07,-71.1578571
7.0014e-07,-69.0868912
7.0016e-07,-69.5103808
7.0018e-07,-69.2579703
7.002e-07,-70.4954521
7.0022e-07,-69.7129927
7.0024e-07,-69.3104883
7.0026e-07,-69.4146199
7.0028e-07,-68.8805836
7.003e-07,-70.2420755
7.0032e-07,-71.3060295
7.0034e-07,-68.7862536
7.0036e-07,-71.8009394
7.0038e-07,-70.250006
7.004e-07,-69.7366606
7.0042e-07,-72.0091421
7.0044e-07,-69.6972989
7.0046e-07,-68.841663
7.0048e-07,-72.4263711
7.005e-07,-70.3381303
7.0052e-07,-70.1375128
7.0054e-07,-70.2799882
7.0056e-07,-72.4718841
7.0058e-07,-70.0738317
7.006e-07,-70.5482196
7.0062e-07,-70.5512509
7.0064e-07,-72.0151678
7.0066e-07,-69.7709663
7.0068e-07,-72.2652748
7.007e-07,-69.2042317
7.0072e-07,-69.403013
7.0074e-07,-70.6974661
7.0076e-07,-70.6854963
7.0078e-07,-70.5328047
7.008e-07,-70.5835179
7.0082e-07,-71.9972792
7.0084e-07,-69.7756195
7.0086e-07,-71.5399949
7.0088e-07,-71.0676868
7.009e-07,-69.4387415
7.0092e-07,-69.7554816
7.0094e-07,-70.68525
7.0096e-07,-70.4461164
7.0098e-07,-71.2349026
7.01e-07,-71.2968956
7.0102e-07,-71.3813469
7.0104e-07,-71.7365985
7.0106e-07,-68.0953551
7.0108e-07,-71.0295131
7.011e-07,-70.5070134
7.0112e-07,-71.1540816
7.0114e-07,-71.9122377
7.0116e-07,-71.5487222
7.0118e-07,-70.277503
7.012e-07,-69.2846278
7.0122e-07,-69.0201793
7.0124e-07,-70.2408449
7.0126e-07,-69.2041467
7.0128e-07,-68.5917991
7.013e-07,-68.9478058
7.0132e-07,-71.320815
7.0134e-07,-71.580273
7.0136e-07,-71.9463874
7.0138e-07,-70.3762685
7.014e-07,-70.683044
7.0142e-07,-70.5267415
7.0144e-07,-69.8083884
7.0146e-07,-70.5746754
7.0148e-07,-70.7209146
7.015e-07,-70.7021354
7.0152e-07,-71.350413
7.0154e-07,-69.7717912
7.0156e-07,-69.8689468
7.0158e-07,-69.3551114
7.016e-07,-70.2164683
7.0162e-07,-70.2943052
7.0164e-07,-70.8475212
7.0166e-07,-73.54137
7.0168e-07,-69.7435612
7.017e-07,-69.2783377
7.0172e-07,-71.5783373
7.0174e-07,-69.2504837
7.0176e-07,-69.7321643
7.0178e-07,-70.6086025
7.018e-07,-70.1901568
7.0182e-07,-69.9255063
7.0184e-07,-68.4466133
7.0186e-07,-70.6372575
7.0188e-07,-69.7106546
7.019e-07,-68.6830513
7.0192e-07,-69.5525815
7.0194e-07,-70.1181529
7.0196e-07,-70.7000013
7.0198e-07,-70.430939
7.02e-07,-70.5244921
7.0202e-07,-70.3590349
7.0204e-07,-69.805664
7.0206e-07,-70.8837263
7.0208e-07,-71.8165745
7.021e-07,-69.1250503
7.0212e-07,-69.5841255
7.0214e-07,-70.417074
7.0216e-07,-71.0824666
7.0218e-07,-69.5170801
7.022e-07,-71.055914
7.0222e-07,-68.7808669
7.0224e-07,-70.3085219
7.0226e-07,-70.181632
7.0228e-07,-71.4389386
7.023e-07,-70.6203202
7.0232e-07,-69.2500685
7.0234e-07,-69.1291408
7.0236e-07,-70.9742765
7.0238e-07,-71.3685593
7.024e-07,-71.2354918
7.0242e-07,-69.6372635
7.0244e-07,-71.7493513
7.0246e-07,-70.1746826
7.0248e-07,-71.9799839
7.025e-07,-70.0806386
7.0252e-07,-70.107626
7.0254e-07,-69.9181607
7.0256e-07,-70.7691305
7.0258e-07,-69.2324395
7.026e-07,-71.3624766
7.0262e-07,-72.3190933
7.0264e-07,-69.7575621
7.0266e-07,-72.3806882
7.0268e-07,-73.4962236
7.027e-07,-71.1372125
7.0272e-07,-68.7287252
7.0274e-07,-71.8658826
7.0276e-07,-70.8580515
7.0278e-07,-69.7857898
7.028e-07,-69.5737277
7.0282e-07,-69.3345391
7.0284e-07,-70.3588011
7.0286e-07,-69.5776907
7.0288e-07,-72.5869428
7.029e-07,-70.8830213
7.0292e-07,-70.0242614
7.0294e-07,-69.6872492
7.0296e-07,-69.320861
7.0298e-07,-70.1441789
7.03e-07,-68.3678041
7.0302e-07,-70.7967717
7.0304e-07,-69.697962
7.0306e-07,-69.3210606
7.0308e-07,-70.074791
7.031e-07,-71.6101845
7.0312e-07,-72.4209244
7.0314e-07,-70.2804987
7.0316e-07,-72.0413588
7.0318e-07,-70.8780876
7.032e-07,-69.721539
7.0322e-07,-69.0854968
7.0324e-07,-68.5703053
7.0326e-07,-69.1018548
7.0328e-07,-70.3856002
7.033e-07,-69.9843901
7.0332e-07,-69.0365646
7.0334e-07,-68.9268434
7.0336e-07,-68.7231123
7.0338e-07,-69.9670856
7.034e-07,-71.8681487
7.0342e-07,-68.7797702
7.0344e-07,-69.5072005
7.0346e-07,-72.3199999
7.0348e-07,-72.3246744
7.035e-07,-70.5116239
7.0352e-07,-73.0131748
7.0354e-07,-70.1188805
7.0356e-07,-68.9222989
7.0358e-07,-71.3908151
7.036e-07,-73.1484897
7.0362e-07,-70.8016901
7.0364e-07,-70.8634824
7.0366e-07,-68.8542131
7.0368e-07,-70.6514218
7.037e-07,-70.7595766
7.0372e-07,-70.3768771
7.0374e-07,-70.6590089
7.0376e-07,-69.8045964
7.0378e-07,-69.837902
7.038e-07,-69.584191
7.0382e-07,-70.8393893
7.0384e-07,-69.918731
7.0386e-07,-70.7133029
7.0388e-07,-70.624596
7.039e-07,-70.2736369
7.0392e-07,-69.300236
7.0394e-07,-70.5765679
7.0396e-07,-69.5618924
7.0398e-07,-71.4460194
7.04e-07,-69.7814944
7.0402e-07,-69.5912382
7.0404e-07,-71.3200864
7.0406e-07,-71.1869269
7.0408e-07,-71.2741512
7.041e-07,-69.3443496
7.0412e-07,-72.0323979
7.0414e-07,-68.5645542
7.0416e-07,-69.3399904
7.0418e-07,-70.4391488
7.042e-07,-71.0335275
7.0422e-07,-71.5329312
7.0424e-07,-69.9062111
7.0426e-07,-70.631809
7.0428e-07,-70.8578191
7.043e-07,-70.1727885
7.0432e-07,-69.143105
7.0434e-07,-68.3837364
7.0436e-07,-71.333958
7.0438e-07,-69.2653492
7.044e-07,-70.1261235
7.0442e-07,-71.01164
7.0444e-07,-71.9212536
7.0446e-07,-72.3832976
7.0448e-07,-70.5958976
7.045e-07,-69.5715892
7.0452e-07,-69.3891064
7.0454e-07,-70.9961036
7.0456e-07,-70.5714833
7.0458e-07,-72.6870981
7.046e-07,-70.3879723
7.0462e-07,-70.246388
7.0464e-07,-72.7890329
7.0466e-07,-70.5188034
7.0468e-07,-69.4583668
7.047e-07,-68.701111
7.0472e-07,-70.6026087
7.0474e-07,-70.0316168
7.0476e-07,-72.8633406
7.0478e-07,-70.1047934
7.048e-07,-69.1446439
7.0482e-07,-72.8118751
7.0484e-07,-71.29865
7.0486e-07,-70.0669627
7.0488e-07,-68.9365015
7.049e-07,-69.5008358
7.0492e-07,-69.2788805
7.0494e-07,-70.7732531
7.0496e-07,-68.6233483
7.0498e-07,-69.8462957
7.05e-07,-70.1307466
7.0502e-07,-70.8745759
7.0504e-07,-69.3612179
7.0506e-07,-72.5978393
7.0508e-07,-71.3281395
7.051e-07,-71.6917703
7.0512e-07,-70.1013399
7.0514e-07,-71.4617388
7.0516e-07,-70.0068927
7.0518e-07,-70.3318679
7.052e-07,-69.1654408
7.0522e-07,-71.0801822
7.0524e-07,-70.4802874
7.0526e-07,-69.9545215
7.0528e-07,-71.2947168
7.053e-07,-69.615508
7.0532e-07,-70.0665543
7.0534e-07,-68.4780157
7.0536e-07,-69.728035
7.0538e-07,-71.928963
7.054e-07,-71.0909662
7.0542e-07,-70.3437854
7.0544e-07,-71.1557098
7.0546e-07,-69.8710569
7.0548e-07,-70.1548549
7.055e-07,-70.608049
7.0552e-07,-69.6642241
7.0554e-07,-70.6121476
7.0556e-07,-72.3038506
7.0558e-07,-69.4410695
7.056e-07,-70.552438
7.0562e-07,-69.0844245
7.0564e-07,-70.5543069
7.0566e-07,-69.1508978
7.0568e-07,-69.7949523
7.057e-07,-69.7975016
7.0572e-07,-69.6039907
7.0574e-07,-70.6487565
7.0576e-07,-74.4422407
7.0578e-07,-72.6458826
7.058e-07,-69.670103
7.0582e-07,-69.9180393
7.0584e-07,-70.819507
7.0586e-07,-68.3473996
7.0588e-07,-68.6792222
7.059e-07,-69.6086963
7.0592e-07,-71.2523977
7.0594e-07,-71.2481283
7.0596e-07,-70.9223541
7.0598e-07,-70.8684092
7.06e-07,-70.7516659
7.0602e-07,-71.2453869
7.0604e-07,-70.0894337
7.0606e-07,-69.8823402
7.0608e-07,-69.8664264
7.061e-07,-70.5211617
7.0612e-07,-73.8783694
7.0614e-07,-69.5530215
7.0616e-07,-71.9907503
7.0618e-07,-69.1929374
7.062e-07,-70.0866397
7.0622e-07,-70.4268905
7.0624e-07,-70.3426218
7.0626e-07,-73.3828253
7.0628e-07,-71.2972172
7.063e-07,-70.0325927
7.0632e-07,-70.515668
7.0634e-07,-69.5732228
7.0636e-07,-70.0548819
7.0638e-07,-69.6354108
7.064e-07,-70.8350677
7.0642e-07,-70.7872511
7.0644e-07,-70.5849231
7.0646e-07,-71.7468754
7.0648e-07,-70.8159009
7.065e-07,-70.8459498
7.0652e-07,-70.4629874
7.0654e-07,-69.8017943
7.0656e-07,-71.9346201
7.0658e-07,-71.2690811
7.066e-07,-70.1151184
7.0662e-07,-70.9096242
7.0664e-07,-71.9028966
