lbd,S
7e-07,-67.4122036
7.0002e-07,-67.8241538
7.0004e-07,-67.2558428
7.0006e-07,-66.9610096
7.0008e-07,-67.3930987
7.001e-07,-67.4421215
7.0012e-07,-66.6353326
7.0014e-07,-66.7760068
7.0016e-07,-67.0373493
7.0018e-07,-67.5949164
7.002e-07,-66.9709482
7.0022e-07,-66.7215325
7.0024e-07,-66.6849137
7.0026e-07,-66.5896301
7.0028e-07,-66.809409
7.003e-07,-66.7894819
7.0032e-07,-67.0222141
7.0034e-07,-69.2124103
7.0036e-07,-66.7357763
7.0038e-07,-67.4264891
7.004e-07,-66.8665051
7.0042e-07,-66.9565866
7.0044e-07,-66.9397189
7.0046e-07,-67.202756
7.0048e-07,-67.3144333
7.005e-07,-66.3934401
7.0052e-07,-68.0678879
7.0054e-07,-67.2077829
7.0056e-07,-66.4548452
7.0058e-07,-66.7261757
7.006e-07,-67.3565591
7.0062e-07,-66.6519671
7.0064e-07,-67.3135512
7.0066e-07,-67.0609398
7.0068e-07,-67.9482806
7.007e-07,-66.9557516
7.0072e-07,-67.857742
7.0074e-07,-67.1819266
7.0076e-07,-67.163426
7.0078e-07,-67.4748623
7.008e-07,-66.1298797
7.0082e-07,-66.9302306
7.0084e-07,-67.5849189
7.0086e-07,-66.890762
7.0088e-07,-67.7963579
7.009e-07,-66.9770727
7.0092e-07,-67.5350852
7.0094e-07,-67.5115196
7.0096e-07,-67.3588587
7.0098e-07,-67.1847583
7.01e-07,-66.6615071
7.0102e-07,-66.7491648
7.0104e-07,-66.8722437
7.0106e-07,-66.9666407
7.0108e-07,-65.9861191
7.011e-07,-66.9495073
7.0112e-07,-67.2124442
7.0114e-07,-67.8848067
7.0116e-07,-66.9308293
7.0118e-07,-66.9913918
7.012e-07,-67.3622352
7.0122e-07,-66.8851544
7.0124e-07,-66.9679542
7.0126e-07,-66.8823437
7.0128e-07,-67.2448406
7.013e-07,-66.5757791
7.0132e-07,-66.7816701
7.0134e-07,-66.5604171
7.0136e-07,-67.9571587
7.0138e-07,-66.8914113
7.014e-07,-67.2629655
7.0142e-07,-66.8730039
7.0144e-07,-67.0586768
7.0146e-07,-67.4533488
7.0148e-07,-67.4880317
7.015e-07,-67.1764527
7.0152e-07,-66.5799334
7.0154e-07,-67.60589
7.0156e-07,-67.6821699
7.0158e-07,-67.6030176
7.016e-07,-66.8153835
7.0162e-07,-66.6443834
7.0164e-07,-67.5188476
7.0166e-07,-68.9186257
7.0168e-07,-68.105268
7.017e-07,-67.3775356
7.0172e-07,-66.8118876
7.0174e-07,-67.5297119
7.0176e-07,-67.2006075
7.0178e-07,-67.4509639
7.018e-07,-66.2896249
7.0182e-07,-67.0447903
7.0184e-07,-66.9046473
7.0186e-07,-66.1106038
7.0188e-07,-67.0343537
7.019e-07,-67.5810563
7.0192e-07,-67.9112014
7.0194e-07,-67.678702
7.0196e-07,-67.6445762
7.0198e-07,-68.147049
7.02e-07,-67.8062327
7.0202e-07,-66.8416781
7.0204e-07,-66.8449472
7.0206e-07,-67.0142593
7.0208e-07,-66.582922
7.021e-07,-67.2653252
7.0212e-07,-68.1923661
7.0214e-07,-67.4477445
7.0216e-07,-66.8761553
7.0218e-07,-66.8670902
7.022e-07,-66.7302841
7.0222e-07,-67.1590861
7.0224e-07,-66.8625126
7.0226e-07,-67.9184658
7.0228e-07,-67.7700538
7.023e-07,-66.8088292
7.0232e-07,-67.5782809
7.0234e-07,-67.7644304
7.0236e-07,-66.9360658
7.0238e-07,-67.089222
7.024e-07,-66.3713305
7.0242e-07,-66.5326548
7.0244e-07,-66.6988846
7.0246e-07,-67.9306139
7.0248e-07,-67.1106615
7.025e-07,-67.4385489
7.0252e-07,-67.0050325
7.0254e-07,-67.1928971
7.0256e-07,-66.478855
7.0258e-07,-67.489851
7.026e-07,-67.1888151
7.0262e-07,-66.3270854
7.0264e-07,-66.6814126
7.0266e-07,-67.1429934
7.0268e-07,-67.0257474
7.027e-07,-66.255708
7.0272e-07,-66.1261041
7.0274e-07,-67.5324424
7.0276e-07,-67.5904529
7.0278e-07,-66.8356253
7.028e-07,-66.8008278
7.0282e-07,-66.3276551
