lbd,S
7e-07,-71.1183563
7.0002e-07,-69.2807705
7.0004e-07,-69.2160454
7.0006e-07,-68.7664483
7.0008e-07,-69.1350136
7.001e-07,-68.9668662
7.0012e-07,-69.5946244
7.0014e-07,-68.7611335
7.0016e-07,-69.6914234
7.0018e-07,-70.8776889
7.002e-07,-68.3961599
7.0022e-07,-67.8608171
7.0024e-07,-69.047833
7.0026e-07,-68.6497514
7.0028e-07,-68.3035873
7.003e-07,-68.9377018
7.0032e-07,-68.2798059
7.0034e-07,-69.5985369
7.0036e-07,-71.6370042
7.0038e-07,-68.8185
7.004e-07,-70.1047207
7.0042e-07,-68.8992873
7.0044e-07,-68.4849688
7.0046e-07,-68.6055708
7.0048e-07,-69.9021129
7.005e-07,-69.4728624
7.0052e-07,-68.3400567
7.0054e-07,-69.582106
7.0056e-07,-70.3898211
7.0058e-07,-69.3322393
7.006e-07,-68.8827507
7.0062e-07,-69.2908806
7.0064e-07,-69.206401
7.0066e-07,-68.6256093
7.0068e-07,-68.1585803
7.007e-07,-70.0332069
7.0072e-07,-68.2701238
7.0074e-07,-69.2597554
7.0076e-07,-68.3153893
7.0078e-07,-69.5332854
7.008e-07,-69.188833
7.0082e-07,-69.7516554
7.0084e-07,-70.9472985
7.0086e-07,-69.5263918
7.0088e-07,-68.1943497
7.009e-07,-67.5503062
7.0092e-07,-68.4182032
7.0094e-07,-68.8558848
7.0096e-07,-69.9412215
7.0098e-07,-69.3489519
7.01e-07,-69.5180712
7.0102e-07,-68.794607
7.0104e-07,-70.9189576
7.0106e-07,-69.9462505
7.0108e-07,-69.1305504
7.011e-07,-69.3436789
7.0112e-07,-69.4798247
7.0114e-07,-70.8360064
7.0116e-07,-69.5284734
7.0118e-07,-69.4122749
7.012e-07,-69.5697136
7.0122e-07,-70.8338633
7.0124e-07,-69.6645909
7.0126e-07,-68.7032311
7.0128e-07,-70.3178359
7.013e-07,-69.3015783
7.0132e-07,-69.1301627
7.0134e-07,-69.3000211
7.0136e-07,-70.0438682
7.0138e-07,-68.961824
7.014e-07,-68.7523823
7.0142e-07,-69.2404419
7.0144e-07,-69.4461937
7.0146e-07,-68.6980368
7.0148e-07,-69.4261704
7.015e-07,-70.0669223
7.0152e-07,-72.1513399
7.0154e-07,-68.9469004
7.0156e-07,-68.6766445
7.0158e-07,-69.1774039
7.016e-07,-68.9536293
7.0162e-07,-69.5654712
7.0164e-07,-68.9237099
7.0166e-07,-68.9651176
7.0168e-07,-68.3598335
7.017e-07,-69.5406648
7.0172e-07,-69.6486477
7.0174e-07,-69.9237157
7.0176e-07,-69.7603503
7.0178e-07,-68.02079
7.018e-07,-69.0385665
7.0182e-07,-68.6943603
7.0184e-07,-69.943106
7.0186e-07,-69.0916142
7.0188e-07,-69.1221277
7.019e-07,-71.2015732
7.0192e-07,-69.8007447
7.0194e-07,-70.3008933
7.0196e-07,-69.8755796
7.0198e-07,-69.9212109
7.02e-07,-68.6041418
7.0202e-07,-68.3841604
7.0204e-07,-68.0216432
7.0206e-07,-68.5891934
7.0208e-07,-70.4172132
7.021e-07,-68.7104428
7.0212e-07,-68.7312608
7.0214e-07,-69.035498
7.0216e-07,-68.42158
7.0218e-07,-68.993446
7.022e-07,-69.1677986
7.0222e-07,-69.3465567
7.0224e-07,-69.3396585
7.0226e-07,-69.8692459
7.0228e-07,-68.1327685
7.023e-07,-68.0933418
7.0232e-07,-69.6651508
7.0234e-07,-69.8615197
7.0236e-07,-69.344989
7.0238e-07,-69.6001164
7.024e-07,-68.739452
7.0242e-07,-69.8290733
7.0244e-07,-69.7408629
7.0246e-07,-69.4897973
7.0248e-07,-69.6483586
7.025e-07,-69.8482757
7.0252e-07,-71.7332439
7.0254e-07,-70.0212438
7.0256e-07,-67.9094507
7.0258e-07,-68.8927258
7.026e-07,-69.1447441
7.0262e-07,-70.6937069
7.0264e-07,-68.4429213
7.0266e-07,-70.0209776
7.0268e-07,-68.5069317
7.027e-07,-70.7880331
7.0272e-07,-69.4527731
7.0274e-07,-67.7721816
7.0276e-07,-69.5799527
7.0278e-07,-69.0798895
7.028e-07,-72.5060564
7.0282e-07,-69.1640691
7.0284e-07,-69.1319605
7.0286e-07,-70.0574874
7.0288e-07,-69.3118888
7.029e-07,-68.8617583
7.0292e-07,-68.3736573
7.0294e-07,-69.783164
7.0296e-07,-69.7724439
7.0298e-07,-68.9034315
7.03e-07,-69.3882102
7.0302e-07,-68.5786316
7.0304e-07,-69.8270392
7.0306e-07,-68.129702
7.0308e-07,-68.8300535
7.031e-07,-70.0048328
7.0312e-07,-69.6903907
7.0314e-07,-72.1521173
7.0316e-07,-70.6075729
7.0318e-07,-69.3587832
7.032e-07,-69.2030289
7.0322e-07,-70.0177349
7.0324e-07,-68.9571366
7.0326e-07,-68.3201774
7.0328e-07,-69.5811804
7.033e-07,-70.3340336
7.0332e-07,-69.6973355
7.0334e-07,-69.6664603
7.0336e-07,-68.8423431
7.0338e-07,-68.6053519
7.034e-07,-68.1352339
7.0342e-07,-68.9395053
7.0344e-07,-69.9318356
7.0346e-07,-69.4295656
7.0348e-07,-70.1275834
7.035e-07,-69.8018149
7.0352e-07,-68.9661807
7.0354e-07,-70.6118009
7.0356e-07,-69.0863699
7.0358e-07,-69.8565742
7.036e-07,-68.4487064
7.0362e-07,-67.6284122
7.0364e-07,-68.7329686
7.0366e-07,-68.486518
7.0368e-07,-69.4141568
7.037e-07,-68.5269214
7.0372e-07,-68.2846861
7.0374e-07,-70.1204086
7.0376e-07,-68.5589672
7.0378e-07,-67.7816894
7.038e-07,-69.5897441
7.0382e-07,-69.1347933
7.0384e-07,-68.4759213
7.0386e-07,-69.587171
7.0388e-07,-68.778503
7.039e-07,-69.676635
7.0392e-07,-69.3418192
7.0394e-07,-69.1343064
7.0396e-07,-69.4243724
7.0398e-07,-69.3789974
7.04e-07,-70.0653148
7.0402e-07,-71.6799418
7.0404e-07,-69.0892486
7.0406e-07,-72.8700328
7.0408e-07,-69.7106771
7.041e-07,-70.1975444
7.0412e-07,-71.2544582
7.0414e-07,-70.2062054
7.0416e-07,-69.192127
7.0418e-07,-68.5668132
7.042e-07,-70.103726
7.0422e-07,-69.4494115
7.0424e-07,-68.796781
7.0426e-07,-69.0755886
7.0428e-07,-70.8017813
7.043e-07,-69.6175019
7.0432e-07,-69.3064146
7.0434e-07,-70.3082542
7.0436e-07,-68.5791399
7.0438e-07,-69.4352267
7.044e-07,-69.1110854
7.0442e-07,-70.3983423
7.0444e-07,-70.5403955
7.0446e-07,-68.5852956
7.0448e-07,-68.7582874
7.045e-07,-69.9619915
7.0452e-07,-71.0731587
7.0454e-07,-70.1265777
7.0456e-07,-70.5339995
7.0458e-07,-69.6541325
7.046e-07,-71.0837097
7.0462e-07,-69.6447921
7.0464e-07,-69.3654261
7.0466e-07,-68.3824957
7.0468e-07,-68.3544634
7.047e-07,-69.7489511
7.0472e-07,-68.6840305
7.0474e-07,-68.0834709
7.0476e-07,-70.4446435
7.0478e-07,-69.8511519
7.048e-07,-68.6132267
7.0482e-07,-70.6577586
7.0484e-07,-68.9256377
7.0486e-07,-68.8104803
7.0488e-07,-70.6808557
7.049e-07,-69.4736124
7.0492e-07,-69.7570912
7.0494e-07,-69.0859193
7.0496e-07,-69.5550094
7.0498e-07,-70.1378199
7.05e-07,-70.1839945
7.0502e-07,-69.9853821
7.0504e-07,-69.4667954
7.0506e-07,-69.1005611
7.0508e-07,-68.7183654
7.051e-07,-68.8145087
7.0512e-07,-68.9112409
7.0514e-07,-69.159001
7.0516e-07,-69.9180593
7.0518e-07,-70.4391061
7.052e-07,-68.7306053
7.0522e-07,-70.7030293
7.0524e-07,-70.0093067
7.0526e-07,-71.3723864
7.0528e-07,-70.7149148
7.053e-07,-68.6051967
7.0532e-07,-68.4955203
7.0534e-07,-69.9584538
7.0536e-07,-69.8968794
7.0538e-07,-67.715938
7.054e-07,-69.8964807
7.0542e-07,-68.1994727
7.0544e-07,-70.2925627
7.0546e-07,-69.0508077
7.0548e-07,-69.38939
7.055e-07,-69.1413416
7.0552e-07,-70.6205328
7.0554e-07,-70.087108
7.0556e-07,-70.8525042
7.0558e-07,-70.8839103
7.056e-07,-68.761424
7.0562e-07,-69.1807578
7.0564e-07,-69.5722515
7.0566e-07,-69.3771614
7.0568e-07,-69.5843799
7.057e-07,-70.3139684
7.0572e-07,-68.4642054
7.0574e-07,-69.4863972
7.0576e-07,-69.9162624
7.0578e-07,-70.0174753
7.058e-07,-70.4033947
7.0582e-07,-69.8731219
7.0584e-07,-68.8403498
7.0586e-07,-71.1621297
7.0588e-07,-68.8467862
7.059e-07,-71.1582059
7.0592e-07,-68.9111468
7.0594e-07,-68.4804911
7.0596e-07,-68.9307167
7.0598e-07,-68.431854
7.06e-07,-69.6872221
7.0602e-07,-70.1159432
7.0604e-07,-71.9178118
7.0606e-07,-69.5704113
7.0608e-07,-69.7196226
7.061e-07,-69.0473472
7.0612e-07,-69.7153062
7.0614e-07,-69.0567413
7.0616e-07,-69.6998003
7.0618e-07,-69.4431435
7.062e-07,-68.1711837
7.0622e-07,-68.6876871
7.0624e-07,-70.7924363
7.0626e-07,-70.2673756
7.0628e-07,-71.3141069
7.063e-07,-70.3100646
7.0632e-07,-70.1760911
7.0634e-07,-69.4400946
7.0636e-07,-69.3509195
7.0638e-07,-69.835012
7.064e-07,-70.1625
7.0642e-07,-69.0345165
7.0644e-07,-69.4984888
7.0646e-07,-70.1544016
7.0648e-07,-68.6528243
7.065e-07,-69.0158452
7.0652e-07,-68.5508679
7.0654e-07,-69.6627156
7.0656e-07,-68.7464146
7.0658e-07,-68.5430433
7.066e-07,-68.7607025
7.0662e-07,-69.5710953
7.0664e-07,-70.1702976
7.0666e-07,-70.1450797
7.0668e-07,-68.8917724
7.067e-07,-68.4885097
7.0672e-07,-69.5590445
7.0674e-07,-68.280292
