lbd,S
7e-07,-69.1181557
7.0002e-07,-67.8223399
7.0004e-07,-69.2023828
7.0006e-07,-69.273499
7.0008e-07,-70.5939431
7.001e-07,-68.519216
7.0012e-07,-69.5889825
7.0014e-07,-69.1662796
7.0016e-07,-68.1131136
7.0018e-07,-68.5956466
7.002e-07,-69.2809627
7.0022e-07,-69.3612799
7.0024e-07,-69.1584812
7.0026e-07,-70.683796
7.0028e-07,-68.8480011
7.003e-07,-68.3683523
7.0032e-07,-68.6834098
7.0034e-07,-68.4847317
7.0036e-07,-69.0177756
7.0038e-07,-68.1541172
7.004e-07,-69.0011961
7.0042e-07,-68.880706
7.0044e-07,-67.9572114
7.0046e-07,-69.013726
7.0048e-07,-68.5808915
7.005e-07,-68.2275843
7.0052e-07,-68.6838331
7.0054e-07,-68.7661454
7.0056e-07,-69.6969871
7.0058e-07,-68.4036769
7.006e-07,-69.6268902
7.0062e-07,-68.2028879
7.0064e-07,-69.2136441
7.0066e-07,-69.6288644
7.0068e-07,-68.7167971
7.007e-07,-68.04864
7.0072e-07,-68.9330661
7.0074e-07,-68.1718958
7.0076e-07,-67.5420628
7.0078e-07,-68.4949169
7.008e-07,-68.6046465
7.0082e-07,-67.6815532
7.0084e-07,-68.1418696
7.0086e-07,-68.5384068
7.0088e-07,-67.8140555
7.009e-07,-68.4317289
7.0092e-07,-67.9863217
7.0094e-07,-68.7250521
7.0096e-07,-70.0319996
7.0098e-07,-68.6363375
7.01e-07,-68.7934346
7.0102e-07,-67.5196088
7.0104e-07,-69.4085693
7.0106e-07,-68.6168859
7.0108e-07,-69.2953799
7.011e-07,-68.4170762
7.0112e-07,-67.7523709
7.0114e-07,-68.289707
7.0116e-07,-69.4822818
7.0118e-07,-68.5836194
7.012e-07,-68.0013194
7.0122e-07,-68.3376534
7.0124e-07,-67.438189
7.0126e-07,-67.6794616
7.0128e-07,-69.1606891
7.013e-07,-67.7559528
7.0132e-07,-68.463131
7.0134e-07,-67.8820746
7.0136e-07,-69.3875778
7.0138e-07,-68.0661799
7.014e-07,-68.409488
7.0142e-07,-68.8625215
7.0144e-07,-68.2942131
7.0146e-07,-68.1618642
7.0148e-07,-68.5052542
7.015e-07,-69.182553
7.0152e-07,-68.9949966
7.0154e-07,-69.2507347
7.0156e-07,-67.9829411
7.0158e-07,-69.2147932
7.016e-07,-69.1443208
7.0162e-07,-67.9578901
7.0164e-07,-68.5345802
7.0166e-07,-71.080591
7.0168e-07,-69.4613317
7.017e-07,-69.114226
7.0172e-07,-68.1336907
7.0174e-07,-68.2702626
7.0176e-07,-69.2983844
7.0178e-07,-68.2987633
7.018e-07,-67.726752
7.0182e-07,-68.3884496
7.0184e-07,-68.2774541
7.0186e-07,-68.3830993
7.0188e-07,-68.2521927
7.019e-07,-68.1900755
7.0192e-07,-69.406652
7.0194e-07,-68.9326388
7.0196e-07,-68.2164568
7.0198e-07,-69.3223785
7.02e-07,-69.2279849
7.0202e-07,-68.2765734
7.0204e-07,-68.9030947
7.0206e-07,-67.9448705
7.0208e-07,-67.6899668
7.021e-07,-68.4526493
7.0212e-07,-68.6886388
7.0214e-07,-69.6062616
7.0216e-07,-68.6492177
7.0218e-07,-68.1073009
7.022e-07,-68.106965
7.0222e-07,-67.5013315
7.0224e-07,-67.9483615
7.0226e-07,-68.2484029
7.0228e-07,-69.200242
7.023e-07,-69.2688459
7.0232e-07,-68.452924
7.0234e-07,-68.7708597
7.0236e-07,-70.273695
7.0238e-07,-69.3041536
7.024e-07,-69.6271337
7.0242e-07,-70.2793654
7.0244e-07,-67.6300654
7.0246e-07,-68.0129525
7.0248e-07,-69.5319138
7.025e-07,-69.0821748
7.0252e-07,-69.3458539
7.0254e-07,-68.6310968
7.0256e-07,-68.5787007
7.0258e-07,-68.5554119
7.026e-07,-68.3534588
7.0262e-07,-69.2560346
7.0264e-07,-68.0282067
7.0266e-07,-67.590459
7.0268e-07,-68.8281604
7.027e-07,-68.2958273
7.0272e-07,-69.968839
7.0274e-07,-69.5502539
7.0276e-07,-68.2192758
7.0278e-07,-68.2556235
7.028e-07,-68.6012143
7.0282e-07,-69.1542879
7.0284e-07,-69.2371627
7.0286e-07,-68.2376893
7.0288e-07,-69.3806736
7.029e-07,-68.0590208
7.0292e-07,-68.7357122
7.0294e-07,-69.471778
7.0296e-07,-69.327705
7.0298e-07,-69.1093277
7.03e-07,-69.1336716
7.0302e-07,-67.7586403
7.0304e-07,-68.7634517
7.0306e-07,-69.1794415
7.0308e-07,-68.0561682
7.031e-07,-68.8300797
7.0312e-07,-68.4486933
7.0314e-07,-69.2463464
7.0316e-07,-69.040211
7.0318e-07,-68.8390214
7.032e-07,-69.3888041
7.0322e-07,-68.5186756
7.0324e-07,-68.2763753
7.0326e-07,-68.1816343
7.0328e-07,-68.4972485
7.033e-07,-68.5460465
7.0332e-07,-68.8625853
7.0334e-07,-68.4769131
7.0336e-07,-69.410117
7.0338e-07,-70.4027529
7.034e-07,-69.9541991
7.0342e-07,-69.2217417
7.0344e-07,-68.7775979
7.0346e-07,-67.7089785
7.0348e-07,-69.9962913
7.035e-07,-69.2647999
7.0352e-07,-68.0392833
7.0354e-07,-67.9951131
7.0356e-07,-68.4263942
7.0358e-07,-68.2369958
7.036e-07,-69.3440399
7.0362e-07,-69.3274765
7.0364e-07,-69.1812685
7.0366e-07,-67.7733814
7.0368e-07,-69.3151639
7.037e-07,-69.451518
7.0372e-07,-67.766626
7.0374e-07,-68.3910538
7.0376e-07,-69.182422
7.0378e-07,-68.7288963
7.038e-07,-68.2190678
7.0382e-07,-68.5331971
7.0384e-07,-69.3015032
7.0386e-07,-69.0494179
7.0388e-07,-68.6118057
7.039e-07,-69.3569338
7.0392e-07,-68.8076465
7.0394e-07,-69.6831985
7.0396e-07,-67.9222612
7.0398e-07,-67.7901694
7.04e-07,-68.5275842
7.0402e-07,-68.7204904
7.0404e-07,-68.2107055
7.0406e-07,-68.0618367
7.0408e-07,-70.6291454
7.041e-07,-69.8905143
7.0412e-07,-69.6652218
7.0414e-07,-68.5374071
7.0416e-07,-68.6862015
7.0418e-07,-68.7293005
7.042e-07,-69.6014441
7.0422e-07,-68.4059224
7.0424e-07,-68.1994673
7.0426e-07,-69.2094684
7.0428e-07,-69.5400076
7.043e-07,-68.2844185
7.0432e-07,-68.2313915
7.0434e-07,-68.6576172
7.0436e-07,-69.3997219
7.0438e-07,-69.5978068
7.044e-07,-70.8333297
7.0442e-07,-69.2442287
